,ticker,date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin
0,MSFT,2020-03-31,35021000000.0,-0.0510757058473,10975000000.0,24046000000.0,4887000000.0,6184000000.0,11071000000.0,12975000000.0,614000000.0,12843000000.0,2091000000.0,0.0,0.0,10752000000.0,0.0,10752000000.0,1.41,1.4,7619000000.0,7693000000.0,0.503834654881,0.686616601468,0.459524285429,0.37049199052,0.307015790526,0.382856000685,16093000000.0,12975000000.0,10752000000.0,0.366722823449,0.307015790526
1,MSFT,2019-12-31,36906000000.0,0.116502798366,12358000000.0,24548000000.0,4603000000.0,6054000000.0,10657000000.0,13891000000.0,654000000.0,14085000000.0,2436000000.0,0.0,0.0,11649000000.0,0.0,11649000000.0,1.53,1.52,7628000000.0,7701000000.0,0.504609790936,0.665149298217,0.463176719233,0.37638866309,0.315639733377,0.191161328781,17094000000.0,13891000000.0,11649000000.0,0.381645260933,0.315639733377
2,MSFT,2019-09-30,33055000000.0,-0.0196340125159,10406000000.0,22649000000.0,4565000000.0,5398000000.0,9963000000.0,12686000000.0,637000000.0,12686000000.0,2008000000.0,0.0,0.0,10678000000.0,0.0,10678000000.0,1.4,1.38,7634000000.0,7710000000.0,0.455252918288,0.685191347754,0.473665103615,0.383784601422,0.323037361972,0.301648767206,15657000000.0,12686000000.0,10678000000.0,0.383784601422,0.323037361972
3,MSFT,2019-06-30,33717000000.0,0.102907984691,10412000000.0,23305000000.0,4513000000.0,6387000000.0,10900000000.0,12405000000.0,669000000.0,-15293000000.0,-591000000.0,0.0,0.0,13187000000.0,0.0,13187000000.0,1.72,1.7,7673000000.0,7753000000.0,0.454146781891,0.691194352997,0.454637126672,0.367915294955,0.391108342972,0.349260017202,15329000000.0,12405000000.0,13187000000.0,-0.453569416022,0.391108342972
4,MSFT,2019-03-31,30571000000.0,-0.0585137507314,10170000000.0,20401000000.0,4316000000.0,5744000000.0,10060000000.0,10341000000.0,671000000.0,10486000000.0,1677000000.0,0.0,0.0,8809000000.0,0.0,8809000000.0,1.15,1.14,7679000000.0,7759000000.0,0.454440005155,0.667331785025,0.433973373459,0.338261751333,0.288148899284,0.349546956266,13267000000.0,10341000000.0,8809000000.0,0.343004808479,0.288148899284
5,MSFT,2018-12-31,32471000000.0,0.116455783249,12423000000.0,20048000000.0,4070000000.0,5720000000.0,9790000000.0,10258000000.0,672000000.0,10385000000.0,1965000000.0,0.0,0.0,8420000000.0,0.0,8420000000.0,1.09,1.08,7683000000.0,7767000000.0,0.456289429638,0.617412460349,0.408148809707,0.315912660528,0.259308305873,0.110868159281,13253000000.0,10258000000.0,8420000000.0,0.319823842814,0.259308305873
6,MSFT,2018-09-30,29084000000.0,-0.0332723948812,9905000000.0,19179000000.0,3977000000.0,5247000000.0,9224000000.0,9955000000.0,674000000.0,10221000000.0,1397000000.0,0.0,0.0,8824000000.0,0.0,8824000000.0,1.15,1.14,7673000000.0,7766000000.0,0.414627865053,0.659434740751,0.439829459497,0.342284417549,0.303397056801,0.337298858479,12792000000.0,9955000000.0,8824000000.0,0.0,0.303397056801
7,MSFT,2018-06-30,30085000000.0,0.121779335546,9742000000.0,20343000000.0,3933000000.0,6031000000.0,9964000000.0,10379000000.0,672000000.0,-14267000000.0,1807000000.0,0.0,0.0,8873000000.0,0.0,8873000000.0,1.15,1.14,7700000000.0,7794000000.0,0.413908134462,0.676184144923,0.42861891308,0.344989197274,0.294931028752,0.232807046701,12895000000.0,10379000000.0,8873000000.0,-0.474223034735,0.294931028752
8,MSFT,2018-03-31,26819000000.0,-0.0725845494156,9269000000.0,17550000000.0,3715000000.0,5543000000.0,9258000000.0,8292000000.0,691000000.0,8641000000.0,1217000000.0,0.0,0.0,7424000000.0,0.0,7424000000.0,0.96,0.95,7706000000.0,7798000000.0,0.414465247499,0.654386815317,0.410231552258,0.309183787613,0.276818673329,0.334427085275,11002000000.0,8292000000.0,7424000000.0,0.322196949924,0.276818673329
9,MSFT,2017-12-31,28918000000.0,0.178498655147,11064000000.0,17854000000.0,3504000000.0,5671000000.0,9175000000.0,8679000000.0,698000000.0,9169000000.0,15471000000.0,0.0,0.0,-6302000000.0,0.0,-6302000000.0,-0.81,-0.8,7709000000.0,7799000000.0,0.415181433517,0.617400926758,0.387820734491,0.300124489937,-0.217926550937,0.181962791341,11215000000.0,8679000000.0,-6302000000.0,0.317068953593,-0.217926550937
10,MSFT,2017-09-30,24538000000.0,0.0523652270875,8278000000.0,16260000000.0,3574000000.0,4978000000.0,8552000000.0,7708000000.0,672000000.0,7984000000.0,1408000000.0,0.0,0.0,6576000000.0,0.0,6576000000.0,0.85,0.84,7708000000.0,7799000000.0,0.385049365303,0.662645692395,0.415967071481,0.314125030565,0.267992501426,0.412788328307,10207000000.0,7708000000.0,6576000000.0,0.0,0.267992501426
11,MSFT,2017-06-30,23317000000.0,0.0555454956994,8456000000.0,14861000000.0,3514000000.0,5711000000.0,9225000000.0,5330000000.0,655000000.0,-17151000000.0,-968000000.0,0.0,0.0,6513000000.0,0.0,6513000000.0,0.85,0.84,7746000000.0,7832000000.0,0.384193054137,0.6373461423,0.329073208389,0.228588583437,0.279324098297,0.358708238624,7673000000.0,5330000000.0,6513000000.0,-0.735557747566,0.279324098297
12,MSFT,2017-03-31,22090000000.0,-0.0830220008302,8060000000.0,14030000000.0,3355000000.0,5081000000.0,8436000000.0,5594000000.0,609000000.0,5916000000.0,1115000000.0,0.0,0.0,4801000000.0,0.0,4801000000.0,0.62,0.61,7756000000.0,7840000000.0,0.384183673469,0.635129017655,0.364282480761,0.253236758714,0.217338162064,0.369533725668,8047000000.0,5594000000.0,4801000000.0,0.267813490267,0.217338162064
13,MSFT,2016-12-31,24090000000.0,0.177822324353,9901000000.0,14189000000.0,3062000000.0,4950000000.0,8012000000.0,6177000000.0,521000000.0,6363000000.0,1163000000.0,0.0,0.0,5200000000.0,0.0,5200000000.0,0.67,0.66,7772000000.0,7853000000.0,0.385075767223,0.58899958489,0.346326276463,0.256413449564,0.215857202159,-0.849107513491,8343000000.0,6177000000.0,5200000000.0,0.264134495641,0.215857202159
14,MSFT,2016-09-30,20453000000.0,-0.00781022605996,7844000000.0,12609000000.0,3106000000.0,4278000000.0,7384000000.0,5225000000.0,437000000.0,5325000000.0,635000000.0,0.0,0.0,4690000000.0,0.0,4690000000.0,0.6,0.6,7789000000.0,7876000000.0,0.355510411376,0.616486578986,0.344252676869,0.25546374615,0.229306214247,0.457732362001,7041000000.0,5225000000.0,4690000000.0,0.0,0.229306214247
15,MSFT,2016-06-30,20614000000.0,0.00404266718621,7979000000.0,12635000000.0,3146000000.0,5299000000.0,8445000000.0,3080000000.0,345000000.0,-16729000000.0,225000000.0,0.0,0.0,3122000000.0,0.0,3122000000.0,0.4,0.4,7925000000.0,8013000000.0,0.352052914015,0.612932958184,0.242068497138,0.149413020277,0.151450470554,0.278742602115,4990000000.0,3080000000.0,3122000000.0,-0.811535849423,0.151450470554
16,MSFT,2016-03-31,20531000000.0,-0.137207934107,7722000000.0,12809000000.0,2980000000.0,4546000000.0,7526000000.0,5283000000.0,340000000.0,5036000000.0,978000000.0,0.0,0.0,4058000000.0,0.0,4058000000.0,0.51,0.5,7952000000.0,8041000000.0,0.353438627036,0.623885831182,0.340460766646,0.257318201744,0.197652330622,0.380010715503,6990000000.0,5283000000.0,4058000000.0,0.245287613852,0.197652330622
17,MSFT,2015-12-31,23796000000.0,0.167672604151,9872000000.0,13924000000.0,2900000000.0,4998000000.0,7898000000.0,6026000000.0,309000000.0,5855000000.0,857000000.0,0.0,0.0,4998000000.0,0.0,4998000000.0,0.63,0.63,7980000000.0,8047000000.0,0.35640611408,0.585140359724,0.318120692553,0.253235837956,0.21003530005,0.134182215498,7570000000.0,6026000000.0,4998000000.0,0.246049756262,0.21003530005
18,MSFT,2015-09-30,20379000000.0,-0.0811992786294,7207000000.0,13172000000.0,2962000000.0,4417000000.0,7379000000.0,5793000000.0,249000000.0,5513000000.0,893000000.0,0.0,0.0,4620000000.0,0.0,4620000000.0,0.58,0.57,7996000000.0,8066000000.0,0.306843540788,0.646351636489,0.355954659208,0.28426321213,0.226703959959,0.33603219,7254000000.0,5793000000.0,4620000000.0,0.0,0.226703959959
19,MSFT,2015-06-30,22180000000.0,0.0207556721432,7468000000.0,14712000000.0,3094000000.0,5233000000.0,16765000000.0,-2053000000.0,247000000.0,-12900000000.0,1439000000.0,0.0,0.0,-3195000000.0,0.0,-3195000000.0,-0.38,-0.38,8177000000.0,8254000000.0,0.302398836928,0.663300270514,-0.0252479711452,-0.0925608656447,-0.144048692516,0.198782687106,-560000000.0,-2053000000.0,-3195000000.0,-0.581605049594,-0.144048692516
20,MSFT,2015-03-31,21729000000.0,-0.179108424632,7161000000.0,14568000000.0,2984000000.0,4800000000.0,7974000000.0,6594000000.0,211000000.0,6517000000.0,1532000000.0,0.0,0.0,4985000000.0,0.0,4985000000.0,0.61,0.61,8215000000.0,8293000000.0,0.305317737851,0.670440425238,0.373187905564,0.303465414883,0.229416908279,0.368953932533,8109000000.0,6594000000.0,4985000000.0,0.299921763542,0.229416908279
21,MSFT,2014-12-31,26470000000.0,0.140899099177,10136000000.0,16334000000.0,2903000000.0,5412000000.0,9698000000.0,7776000000.0,162000000.0,7850000000.0,1987000000.0,0.0,0.0,5863000000.0,0.0,5863000000.0,0.71,0.71,8238000000.0,8321000000.0,0.306093017666,0.617075935021,0.351227805062,0.293766528145,0.221496033245,0.00211560256895,9297000000.0,7776000000.0,5863000000.0,0.296562145825,0.221496033245
22,MSFT,2014-09-30,23201000000.0,-0.00774099734839,8273000000.0,14928000000.0,3065000000.0,4879000000.0,7944000000.0,5844000000.0,161000000.0,5896000000.0,1356000000.0,0.0,0.0,4540000000.0,0.0,4540000000.0,0.55,0.54,8249000000.0,8351000000.0,0.276254340798,0.643420542218,0.313434765743,0.251885694582,0.195681220637,0.2987371234,7272000000.0,5844000000.0,4540000000.0,0.0,0.195681220637
23,MSFT,2014-06-30,23382000000.0,0.146007940009,7595000000.0,15787000000.0,3123000000.0,6055000000.0,9305000000.0,6482000000.0,169000000.0,-14116000000.0,1965000000.0,0.0,0.0,4612000000.0,0.0,4612000000.0,0.56,0.55,8299000000.0,8399000000.0,0.2749136802,0.675177486956,0.351723548028,0.277221794543,0.19724574459,0.109400393465,8224000000.0,6482000000.0,4612000000.0,-0.603712257292,0.19724574459
