,ticker,date,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities
10,MSFT,2009-06-30,31447000000.0,0.0,31447000000.0,11192000000.0,717000000.0,28608000000.0,7535000000.0,14262000000.0,4933000000.0,2492000000.0,11296000000.0,77888000000.0,5008000000.0,2000000000.0,27034000000.0,3746000000.0,5746000000.0,14284000000.0,725000000.0,0.0,11296000000.0,38330000000.0,0.0,-22824000000.0,39558000000.0,4933000000.0,-25701000000.0,5924000000.0,20026000000.0
0,AAPL,2019-09-28,48844000000.0,51713000000.0,1.00557e+11,22926000000.0,4106000000.0,1.62819e+11,37378000000.0,0.0,1.05341e+11,0.0,1.75697e+11,3.38516e+11,46236000000.0,10260000000.0,1.05718e+11,91807000000.0,1.02067e+11,5522000000.0,0.0,0.0,1.4231e+11,2.48028e+11,40730764000,45898000000.0,90488000000.0,1.57054e+11,53223000000.0,0.0,0.0
1,AAPL,2018-09-29,25913000000.0,40388000000.0,66301000000.0,23186000000.0,3956000000.0,1.31339e+11,41304000000.0,0.0,1.70799e+11,0.0,2.34386e+11,3.65725e+11,55888000000.0,8784000000.0,1.16866e+11,93735000000.0,1.02519e+11,7543000000.0,0.0,0.0,1.41712e+11,2.58578e+11,35446014000,70400000000.0,1.07147e+11,2.11187e+11,76606000000.0,0.0,0.0
2,AAPL,2017-09-30,20289000000.0,53892000000.0,74181000000.0,17874000000.0,4855000000.0,1.28645e+11,33783000000.0,8015000000.0,1.94714e+11,0.0,2.46674e+11,3.75319e+11,49049000000.0,6496000000.0,1.00814e+11,97207000000.0,1.03703e+11,7548000000.0,0.0,0.0,1.40458e+11,2.41272e+11,30740799000,98330000000.0,1.34047e+11,2.48606e+11,83414000000.0,0.0,0.0
3,AAPL,2016-09-24,20484000000.0,46671000000.0,67155000000.0,15754000000.0,2132000000.0,1.06869e+11,27010000000.0,8620000000.0,1.7043e+11,0.0,2.14817e+11,3.21686e+11,37294000000.0,3500000000.0,79006000000.0,75427000000.0,78927000000.0,8080000000.0,0.0,0.0,1.14431e+11,1.93437e+11,25914834000,96364000000.0,1.28249e+11,2.17101e+11,58443000000.0,0.0,0.0
4,AAPL,2015-09-26,21120000000.0,20481000000.0,41601000000.0,16849000000.0,2349000000.0,89378000000.0,22471000000.0,9009000000.0,1.64065e+11,5546000000.0,2.01101e+11,2.90479e+11,35490000000.0,2500000000.0,80610000000.0,53463000000.0,55963000000.0,8940000000.0,0.0,0.0,90514000000.0,1.71124e+11,21837247000,92284000000.0,1.19355e+11,1.84546e+11,34843000000.0,0.0,0.0
5,AAPL,2014-09-27,13844000000.0,11233000000.0,25077000000.0,17460000000.0,2111000000.0,68531000000.0,20624000000.0,8758000000.0,1.30162e+11,4318000000.0,1.63308e+11,2.31839e+11,30196000000.0,6308000000.0,63448000000.0,28987000000.0,35295000000.0,8491000000.0,0.0,0.0,61162000000.0,1.20292e+11,17446839000,87152000000.0,1.11547e+11,1.41395e+11,21451000000.0,0.0,0.0
6,AAPL,2013-09-28,14259000000.0,26287000000.0,40546000000.0,13102000000.0,1764000000.0,73286000000.0,16597000000.0,5756000000.0,1.06215e+11,3453000000.0,1.33714e+11,2.07e+11,22367000000.0,0.0,43658000000.0,16960000000.0,16960000000.0,7435000000.0,0.0,0.0,43246000000.0,83451000000.0,0.0,1.04256e+11,1.23549e+11,1.32502e+11,2701000000.0,0.0,0.0
7,AAPL,2012-09-29,10746000000.0,18383000000.0,29129000000.0,10930000000.0,791000000.0,57653000000.0,15452000000.0,5359000000.0,92122000000.0,2583000000.0,1.18411e+11,1.76064e+11,21175000000.0,0.0,38542000000.0,0.0,0.0,5953000000.0,0.0,0.0,21895000000.0,57854000000.0,0.0,1.01289e+11,1.1821e+11,1.10505e+11,-10746000000.0,0.0,0.0
8,AAPL,2011-09-24,9815000000.0,16137000000.0,25952000000.0,5369000000.0,776000000.0,44988000000.0,7777000000.0,4432000000.0,55618000000.0,2014000000.0,71383000000.0,1.16371e+11,14632000000.0,0.0,27970000000.0,0.0,0.0,4091000000.0,0.0,0.0,13800000000.0,39756000000.0,0.0,62841000000.0,76615000000.0,71755000000.0,-9815000000.0,0.0,0.0
9,AAPL,2010-09-25,11261000000.0,14359000000.0,25620000000.0,5510000000.0,1051000000.0,41678000000.0,4768000000.0,1083000000.0,25391000000.0,1636000000.0,33505000000.0,75183000000.0,12015000000.0,0.0,20722000000.0,0.0,0.0,2984000000.0,0.0,0.0,8306000000.0,27392000000.0,0.0,37169000000.0,47791000000.0,39750000000.0,-11261000000.0,0.0,0.0
10,AAPL,2009-09-26,5263000000.0,18201000000.0,23464000000.0,5057000000.0,455000000.0,15946000000.0,2954000000.0,453000000.0,10528000000.0,1135000000.0,4355000000.0,47501000000.0,5601000000.0,0.0,11506000000.0,0.0,0.0,2906000000.0,0.0,0.0,4355000000.0,15861000000.0,77000000.0,23353000000.0,31640000000.0,28729000000.0,-23464000000.0,2579000000.0,5905000000.0
0,AMZN,2019-12-31,36092000000.0,18929000000.0,55021000000.0,20816000000.0,20497000000.0,96334000000.0,72705000000.0,0.0,0.0,0.0,1.28914e+11,2.25248e+11,47183000000.0,0.0,87812000000.0,23414000000.0,23414000000.0,8190000000.0,0.0,0.0,35585000000.0,1.63188e+11,31821000000,31220000000.0,62060000000.0,18929000000.0,-12678000000.0,0.0,39791000000.0
1,AMZN,2018-12-31,31750000000.0,9500000000.0,41250000000.0,16677000000.0,17174000000.0,75101000000.0,61797000000.0,0.0,0.0,0.0,87547000000.0,1.62648e+11,38192000000.0,0.0,68391000000.0,23495000000.0,23495000000.0,6536000000.0,0.0,0.0,50708000000.0,1.19099e+11,24954000000,19625000000.0,43549000000.0,9500000000.0,-8255000000.0,0.0,0.0
2,AMZN,2017-12-31,20522000000.0,10464000000.0,30986000000.0,13164000000.0,16047000000.0,60197000000.0,48866000000.0,0.0,0.0,0.0,71113000000.0,1.3131e+11,34616000000.0,0.0,57883000000.0,24743000000.0,24743000000.0,5097000000.0,0.0,0.0,45718000000.0,1.03601e+11,19552000000,8636000000.0,27709000000.0,10464000000.0,4221000000.0,0.0,0.0
3,AMZN,2016-12-31,19334000000.0,6647000000.0,25981000000.0,8339000000.0,11461000000.0,45781000000.0,29114000000.0,0.0,0.0,0.0,37621000000.0,83402000000.0,25309000000.0,0.0,43816000000.0,7694000000.0,7694000000.0,4768000000.0,0.0,0.0,20301000000.0,64117000000.0,15349000000,4916000000.0,19285000000.0,6647000000.0,-11640000000.0,0.0,0.0
4,AMZN,2015-12-31,15890000000.0,3918000000.0,19808000000.0,6423000000.0,10243000000.0,36474000000.0,21838000000.0,0.0,0.0,0.0,28970000000.0,65444000000.0,20397000000.0,0.0,33899000000.0,8235000000.0,8235000000.0,3118000000.0,0.0,0.0,18161000000.0,52060000000.0,11557000000,2545000000.0,13384000000.0,3918000000.0,-7655000000.0,0.0,0.0
5,AMZN,2014-12-31,14557000000.0,2859000000.0,17416000000.0,5612000000.0,8299000000.0,31327000000.0,16967000000.0,0.0,0.0,0.0,23178000000.0,54505000000.0,16459000000.0,0.0,28089000000.0,8265000000.0,8265000000.0,1823000000.0,0.0,0.0,15675000000.0,43764000000.0,9298000000,1949000000.0,10741000000.0,2859000000.0,-6292000000.0,0.0,0.0
6,AMZN,2013-12-31,8658000000.0,3789000000.0,12447000000.0,4767000000.0,7411000000.0,24625000000.0,10949000000.0,0.0,0.0,0.0,15534000000.0,40159000000.0,15133000000.0,0.0,22980000000.0,3191000000.0,3191000000.0,1159000000.0,0.0,0.0,7433000000.0,30413000000.0,7736000000,2190000000.0,9746000000.0,3789000000.0,-5467000000.0,0.0,0.0
7,AMZN,2012-12-31,8084000000.0,3364000000.0,11448000000.0,3364000000.0,6031000000.0,21296000000.0,7060000000.0,0.0,0.0,123000000.0,11259000000.0,32555000000.0,13318000000.0,0.0,19002000000.0,3084000000.0,3084000000.0,0.0,0.0,0.0,5814000000.0,24363000000.0,6510000000,1916000000.0,8192000000.0,3364000000.0,-5000000000.0,0.0,-453000000.0
8,AMZN,2011-12-31,5269000000.0,4307000000.0,9576000000.0,2571000000.0,4992000000.0,17490000000.0,4417000000.0,0.0,0.0,28000000.0,7788000000.0,25278000000.0,11145000000.0,0.0,14896000000.0,0.0,0.0,0.0,0.0,0.0,2625000000.0,17521000000.0,6113000000,1955000000.0,7757000000.0,4307000000.0,-5269000000.0,0.0,0.0
9,AMZN,2010-12-31,3777000000.0,4985000000.0,8762000000.0,1587000000.0,3202000000.0,13747000000.0,2414000000.0,0.0,0.0,22000000.0,5050000000.0,18797000000.0,8051000000.0,0.0,10372000000.0,0.0,0.0,0.0,0.0,0.0,1757000000.0,11933000000.0,5725000000,1324000000.0,6864000000.0,4985000000.0,-3777000000.0,0.0,-196000000.0
10,AMZN,2009-12-31,3444000000.0,2922000000.0,6366000000.0,988000000.0,2171000000.0,9797000000.0,1290000000.0,1234000000.0,0.0,290000000.0,4016000000.0,13813000000.0,5605000000.0,0.0,7364000000.0,0.0,0.0,0.0,0.0,0.0,1192000000.0,8556000000.0,-56000000.0,172000000.0,5257000000.0,2922000000.0,-6366000000.0,272000000.0,1759000000.0
0,GOOGL,2019-12-31,18498000000.0,1.01177e+11,1.19675e+11,25326000000.0,999000000.0,1.52578e+11,10941000000.0,22603000000.0,13078000000.0,721000000.0,1.23331e+11,2.75909e+11,5561000000.0,358000000.0,45221000000.0,4554000000.0,4912000000.0,1908000000.0,274000000.0,0.0,9147000000.0,74467000000.0,50551999999.999,1.52122e+11,2.01442e+11,1.14255e+11,-13586000000.0,0.0,20099000000.0
1,GOOGL,2018-12-31,16701000000.0,92439000000.0,1.0914e+11,20838000000.0,1107000000.0,1.35676e+11,59719000000.0,20108000000.0,13859000000.0,737000000.0,97116000000.0,2.32792e+11,4378000000.0,396000000.0,34620000000.0,4012000000.0,4408000000.0,1784000000.0,69000000.0,0.0,9217000000.0,55164000000.0,45048999999.999,1.34885e+11,1.77628e+11,1.06298e+11,-12293000000.0,0.0,11327000000.0
2,GOOGL,2017-12-31,10715000000.0,91156000000.0,1.01871e+11,18336000000.0,749000000.0,1.24308e+11,42383000000.0,19439000000.0,7813000000.0,680000000.0,72987000000.0,1.97295e+11,3137000000.0,0.0,24183000000.0,3969000000.0,3969000000.0,1432000000.0,881000000.0,0.0,7798000000.0,44793000000.0,40246999999.999,1.13247e+11,1.52502e+11,98969000000.0,-6746000000.0,0.0,12812000000.0
3,GOOGL,2016-12-31,12918000000.0,73415000000.0,86333000000.0,14137000000.0,268000000.0,1.05408e+11,34234000000.0,19775000000.0,5878000000.0,95000000.0,62089000000.0,1.67497e+11,2041000000.0,0.0,16756000000.0,3935000000.0,3935000000.0,1099000000.0,554000000.0,0.0,7028000000.0,28461000000.0,36306999999.999,1.05131e+11,1.39036e+11,79293000000.0,-8983000000.0,0.0,4677000000.0
4,GOOGL,2015-12-31,16549000000.0,56517000000.0,73066000000.0,11556000000.0,0.0,90114000000.0,29016000000.0,19716000000.0,5183000000.0,1903000000.0,57347000000.0,1.47461e+11,1931000000.0,3225000000.0,19310000000.0,1995000000.0,5220000000.0,788000000.0,302000000.0,0.0,4157000000.0,27130000000.0,32981313000,89223000000.0,1.20331e+11,61700000000.0,-11329000000.0,0.0,3663000000.0
5,GOOGL,2014-12-31,18347000000.0,46048000000.0,64395000000.0,10258000000.0,0.0,78656000000.0,23883000000.0,20206000000.0,3079000000.0,767000000.0,50531000000.0,129187000000.0,4493000000.0,2009000000.0,16779000000.0,3228000000.0,5237000000.0,2808000000.0,4194000000.0,0.0,8548000000.0,25327000000.0,27000000.0,75066000000.0,103860000000.0,49127000000.0,-59158000000.0,4003000000.0,10277000000.0
6,GOOGL,2013-12-31,18898000000.0,39819000000.0,58717000000.0,8982000000.0,0.0,72886000000.0,16524000000.0,17558000000.0,1976000000.0,1934000000.0,38034000000.0,110920000000.0,3827000000.0,3009000000.0,15908000000.0,2236000000.0,5245000000.0,2930000000.0,4609000000.0,0.0,7703000000.0,23611000000.0,125000000.0,61262000000.0,87309000000.0,41795000000.0,-53472000000.0,5187000000.0,9072000000.0
7,GOOGL,2012-12-31,14778000000.0,33310000000.0,48088000000.0,8585000000.0,505000000.0,60454000000.0,11854000000.0,18010000000.0,1469000000.0,1144000000.0,33344000000.0,93798000000.0,3685000000.0,2549000000.0,14337000000.0,2988000000.0,5537000000.0,2466000000.0,4158000000.0,0.0,7746000000.0,22083000000.0,538000000.0,48342000000.0,71715000000.0,34779000000.0,-42551000000.0,3276000000.0,8103000000.0
8,GOOGL,2011-12-31,9983000000.0,34643000000.0,44626000000.0,6172000000.0,35000000.0,52758000000.0,9603000000.0,8924000000.0,790000000.0,215000000.0,19816000000.0,72574000000.0,2595000000.0,1218000000.0,8913000000.0,2986000000.0,4204000000.0,1759000000.0,2177000000.0,0.0,5516000000.0,14429000000.0,276000000.0,37605000000.0,58145000000.0,35433000000.0,-40422000000.0,1925000000.0,5100000000.0
9,GOOGL,2010-12-31,13630000000.0,21345000000.0,34975000000.0,5002000000.0,0.0,41562000000.0,7759000000.0,7300000000.0,523000000.0,524000000.0,16289000000.0,57851000000.0,2844000000.0,3465000000.0,9996000000.0,0.0,3465000000.0,1314000000.0,1237000000.0,0.0,1614000000.0,11610000000.0,138000000.0,27868000000.0,46241000000.0,21868000000.0,-31510000000.0,1585000000.0,3687000000.0
10,GOOGL,2009-12-31,10198000000.0,14287000000.0,24485000000.0,3178000000.0,0.0,29167000000.0,4845000000.0,5678000000.0,129000000.0,930000000.0,11330000000.0,40497000000.0,216000000.0,0.0,2747000000.0,0.0,0.0,1021000000.0,1392000000.0,0.0,1746000000.0,4493000000.0,105000000.0,20082000000.0,36004000000.0,14416000000.0,-24485000000.0,1504000000.0,2531000000.0
0,GOOG,2019-12-31,18498000000.0,1.01177e+11,1.19675e+11,25326000000.0,999000000.0,1.52578e+11,10941000000.0,22603000000.0,13078000000.0,721000000.0,1.23331e+11,2.75909e+11,5561000000.0,358000000.0,45221000000.0,4554000000.0,4912000000.0,1908000000.0,274000000.0,0.0,9147000000.0,74467000000.0,50551999999.999,1.52122e+11,2.01442e+11,1.14255e+11,-13586000000.0,0.0,20099000000.0
1,GOOG,2018-12-31,16701000000.0,92439000000.0,1.0914e+11,20838000000.0,1107000000.0,1.35676e+11,59719000000.0,20108000000.0,13859000000.0,737000000.0,97116000000.0,2.32792e+11,4378000000.0,396000000.0,34620000000.0,4012000000.0,4408000000.0,1784000000.0,69000000.0,0.0,9217000000.0,55164000000.0,45048999999.999,1.34885e+11,1.77628e+11,1.06298e+11,-12293000000.0,0.0,11327000000.0
2,GOOG,2018-12,16701000000.0,92439000000.0,92439000000.0,20838000000.0,1107000000.0,135676000000.0,59719000000.0,20108000000,13859000000.0,737000000.0,97116000000.0,232792000000.0,4378000000.0,000000.0,34620000000.0,3950000000.0,3950000000.0,396000000.0,1264000000.0,,20544000000.0,55164000000.0,-2306000000.0,134885000000.0,177628000000.0,13859000000.0,-12751000000,7284000000,36859000000
3,GOOG,2017-12-31,10715000000.0,91156000000.0,1.01871e+11,18336000000.0,749000000.0,1.24308e+11,42383000000.0,19439000000.0,7813000000.0,680000000.0,72987000000.0,1.97295e+11,3137000000.0,0.0,24183000000.0,3969000000.0,3969000000.0,1432000000.0,881000000.0,0.0,7798000000.0,44793000000.0,40246999999.999,1.13247e+11,1.52502e+11,98969000000.0,-6746000000.0,0.0,12812000000.0
4,GOOG,2017-12,10715000000.0,91156000000.0,91156000000.0,18336000000.0,749000000.0,124308000000.0,42383000000.0,19439000000,7813000000.0,680000000.0,72987000000.0,197295000000.0,3137000000.0,000000.0,24183000000.0,3943000000.0,3943000000.0,340000000.0,430000000.0,,20610000000.0,44793000000.0,-992000000.0,113247000000.0,152502000000.0,7813000000.0,-6772000000,6024000000,29140000000
5,GOOG,2016-12-31,12918000000.0,73415000000.0,86333000000.0,14137000000.0,268000000.0,1.05408e+11,34234000000.0,19775000000.0,5878000000.0,95000000.0,62089000000.0,1.67497e+11,2041000000.0,0.0,16756000000.0,3935000000.0,3935000000.0,1099000000.0,554000000.0,0.0,7028000000.0,28461000000.0,36306999999.999,1.05131e+11,1.39036e+11,79293000000.0,-8983000000.0,0.0,4677000000.0
6,GOOG,2016-12,12918000000.0,73415000000.0,73415000000.0,14137000000.0,268000000.0,105408000000.0,34234000000.0,19775000000,5878000000.0,383000000.0,62089000000.0,167497000000.0,2041000000.0,000000.0,16756000000.0,3935000000.0,3935000000.0,202000000.0,226000000.0,,11705000000.0,28461000000.0,-2402000000.0,105131000000.0,139036000000.0,5878000000.0,-8983000000,1914000000,16206000000
7,GOOG,2015-12-31,16549000000.0,56517000000.0,73066000000.0,11556000000.0,0.0,90114000000.0,29016000000.0,19716000000.0,5183000000.0,1903000000.0,57347000000.0,1.47461e+11,1931000000.0,3225000000.0,19310000000.0,1995000000.0,5220000000.0,788000000.0,302000000.0,0.0,4157000000.0,27130000000.0,32981313000,89223000000.0,1.20331e+11,61700000000.0,-11329000000.0,0.0,3663000000.0
8,GOOG,2015-12,16549000000.0,56517000000.0,56517000000.0,11556000000.0,000000.0,90114000000.0,29016000000.0,19716000000,5183000000.0,251000000.0,57347000000.0,147461000000.0,1931000000.0,3000000000.0,19310000000.0,1995000000.0,1995000000.0,151000000.0,189000000.0,,7820000000.0,27130000000.0,-1874000000.0,89223000000.0,120331000000.0,5183000000.0,-11554000000,5534000000,11452000000
9,GOOG,2014-12,18347000000.0,46048000000.0,46048000000.0,9383000000.0,000000.0,80685000000.0,23883000000.0,20206000000,3079000000.0,000000.0,50448000000.0,131133000000.0,1715000000.0,1999000000.0,16805000000.0,2992000000.0,2992000000.0,104000000.0,1971000000.0,,9828000000.0,26633000000.0,27000000.0,75706000000.0,104500000000.0,3079000000.0,-13356000000,5453000000,10372000000
0,FB,2019-12-31,19079000000.0,35776000000.0,54855000000.0,9518000000.0,0.0,66225000000.0,9460000000.0,19609000000.0,0.0,0.0,67151000000.0,1.33376e+11,1363000000.0,800000000.0,15053000000.0,9524000000.0,10324000000.0,269000000.0,0.0,0.0,17269000000.0,32322000000.0,45851000000,55692000000.0,1.01054e+11,35776000000.0,-8755000000.0,0.0,0.0
1,FB,2018-12-31,10019000000.0,31095000000.0,41114000000.0,7587000000.0,0.0,50480000000.0,24683000000.0,19595000000.0,0.0,0.0,46854000000.0,97334000000.0,820000000.0,0.0,7017000000.0,0.0,0.0,147000000.0,0.0,0.0,6190000000.0,13207000000.0,42906000000,41981000000.0,84127000000.0,31095000000.0,-10019000000.0,0.0,0.0
2,FB,2017-12-31,8079000000.0,33632000000.0,41711000000.0,5832000000.0,0.0,48563000000.0,13721000000.0,20105000000.0,0.0,0.0,35961000000.0,84524000000.0,380000000.0,0.0,3760000000.0,0.0,0.0,98000000.0,0.0,0.0,6417000000.0,10177000000.0,40584000000,33990000000.0,74347000000.0,33632000000.0,-8079000000.0,0.0,0.0
3,FB,2016-12-31,8903000000.0,20546000000.0,29449000000.0,3993000000.0,0.0,34401000000.0,8591000000.0,20657000000.0,0.0,0.0,30560000000.0,64961000000.0,302000000.0,0.0,2875000000.0,0.0,0.0,90000000.0,0.0,0.0,2892000000.0,5767000000.0,38227000000,21670000000.0,59194000000.0,20546000000.0,-8903000000.0,0.0,0.0
4,FB,2015-12-31,4907000000.0,13527000000.0,18434000000.0,2559000000.0,0.0,21652000000.0,5687000000.0,21272000000.0,0.0,0.0,27755000000.0,49407000000.0,196000000.0,7000000.0,1925000000.0,107000000.0,114000000.0,56000000.0,0.0,0.0,3371000000.0,5189000000.0,34886000000,9787000000.0,44218000000.0,13527000000.0,-4793000000.0,0.0,0.0
5,FB,2014-12-31,4315000000.0,6884000000.0,11199000000.0,1678000000.0,0.0,13670000000.0,3967000000.0,21910000000.0,0.0,0.0,26514000000.0,40184000000.0,176000000.0,114000000.0,1424000000.0,119000000.0,233000000.0,66000000.0,0.0,0.0,2783000000.0,4088000000.0,30225000000,6099000000.0,36096000000.0,6884000000.0,-4082000000.0,0.0,0.0
6,FB,2013-12-31,3323000000.0,8126000000.0,11449000000.0,1109000000.0,0.0,13070000000.0,2882000000.0,1722000000.0,0.0,51000000.0,4825000000.0,17895000000.0,87000000.0,239000000.0,1100000000.0,0.0,239000000.0,38000000.0,0.0,0.0,1325000000.0,2425000000.0,12297000000,3159000000.0,15470000000.0,8126000000.0,-3084000000.0,0.0,0.0
7,FB,2012-12-31,2384000000.0,7242000000.0,9626000000.0,719000000.0,0.0,11267000000.0,2391000000.0,1388000000.0,0.0,451000000.0,3836000000.0,15103000000.0,65000000.0,365000000.0,1052000000.0,1500000000.0,1865000000.0,30000000.0,0.0,0.0,2296000000.0,3348000000.0,10094000000,1659000000.0,11755000000.0,7242000000.0,-519000000.0,0.0,0.0
8,FB,2011-12-31,1512000000.0,2396000000.0,3908000000.0,547000000.0,0.0,4604000000.0,1475000000.0,162000000.0,0.0,0.0,1727000000.0,6331000000.0,234000000.0,279000000.0,899000000.0,398000000.0,677000000.0,90000000.0,0.0,0.0,533000000.0,1432000000.0,-6000000.0,1606000000.0,4899000000.0,2396000000.0,-3231000000.0,149000000.0,386000000.0
9,FB,2010-12-31,1785000000.0,0.0,1785000000.0,373000000.0,0.0,2246000000.0,574000000.0,96000000.0,0.0,0.0,744000000.0,2990000000.0,104000000.0,106000000.0,389000000.0,367000000.0,473000000.0,42000000.0,0.0,0.0,439000000.0,828000000.0,-6000000.0,606000000.0,2162000000.0,0.0,-1312000000.0,88000000.0,179000000.0
0,NFLX,2019-12-31,5018437000.0,0.0,5018437000.0,0.0,0.0,6178504000.0,565221000.0,0.0,0.0,0.0,27797208000.0,33975712000.0,674347000.0,0.0,6855696000.0,14759000000.0,14759000000.0,925000000.0,0.0,0.0,16203276000.0,26393555000.0,0.0,4811749000.0,7582157000.0,0.0,9740563000.0,0.0,3334583000.0
1,NFLX,2018-12-31,3794483000.0,0.0,3794483000.0,0.0,0.0,9694135000.0,418281000.0,0.0,0.0,0.0,16280265000.0,25974400000.0,562985000.0,0.0,6487320000.0,10360058000.0,10360058000.0,760899000.0,0.0,0.0,10489289000.0,20735635000.0,0.0,2942359000.0,5238765000.0,0.0,6565575000.0,0.0,3759026000.0
2,NFLX,2017-12-31,2822795000.0,0.0,2822795000.0,0.0,0.0,7669974000.0,319404000.0,0.0,0.0,0.0,11342768000.0,19012742000.0,359555000.0,0.0,5466312000.0,6499432000.0,6499432000.0,618622000.0,0.0,0.0,6634678000.0,15430786000.0,0.0,1731117000.0,3581956000.0,0.0,3676637000.0,0.0,3329796000.0
