,ticker,date,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
6,AAPL,2013-09-28,6757000000.0,2253000000.0,53666000000.0,9076000000.0,-496000000.0,-2543000000.0,-33774000000.0,-0.0,-22330000000.0,-10564000000.0,-16379000000.0,0.0,3513000000.0,44590000000.0,0.0
7,AAPL,2012-09-29,3277000000.0,1740000000.0,50856000000.0,9402000000.0,-350000000.0,13035000000.0,-48227000000.0,-0.0,-10081000000.0,-2488000000.0,-1698000000.0,0.0,931000000.0,41454000000.0,0.0
8,AAPL,2011-09-24,1814000000.0,1168000000.0,37529000000.0,7452000000.0,-244000000.0,20437000000.0,-40419000000.0,-0.0,-8984000000.0,-0.0,1444000000.0,0.0,-1446000000.0,30077000000.0,0.0
9,AAPL,2010-09-25,1027000000.0,879000000.0,18595000000.0,2121000000.0,-638000000.0,-11093000000.0,-13854000000.0,-0.0,-10349000000.0,-0.0,1257000000.0,0.0,5998000000.0,16474000000.0,0.0
10,AAPL,2009-09-26,734000000.0,710000000.0,10159000000.0,-1213000000.0,0.0,-16046000000.0,-17434000000.0,0.0,475000000.0,0.0,663000000.0,0.0,-6612000000.0,8946000000.0,0.1407
0,AMZN,2019-12-31,21789000000.0,6864000000.0,38514000000.0,16861000000.0,-2461000000.0,-9131000000.0,-24281000000.0,-2684000000.0,-36092000000.0,-0.0,-10066000000.0,70000000.0,4237000000.0,21653000000.0,0.0
1,AMZN,2018-12-31,15341000000.0,5418000000.0,30723000000.0,13427000000.0,-2186000000.0,1140000000.0,-12369000000.0,-668000000.0,-31750000000.0,-0.0,-7686000000.0,-351000000.0,10317000000.0,17296000000.0,0.0
2,AMZN,2017-12-31,11478000000.0,4215000000.0,18434000000.0,0.0,-0.0,-3789000000.0,-27819000000.0,-1372000000.0,-20522000000.0,-0.0,9860000000.0,713000000.0,1188000000.0,18434000000.0,0.0
3,AMZN,2016-12-31,8116000000.0,2975000000.0,16443000000.0,6737000000.0,-0.0,-7756000000.0,-9876000000.0,-354000000.0,-19334000000.0,-0.0,-2911000000.0,-212000000.0,3444000000.0,9706000000.0,0.0
4,AMZN,2015-12-31,6281000000.0,2119000000.0,11920000000.0,4589000000.0,-0.0,-4091000000.0,-6450000000.0,-1652000000.0,-15890000000.0,-0.0,-3763000000.0,-374000000.0,1333000000.0,7331000000.0,0.0
5,AMZN,2014-12-31,4746000000.0,1497000000.0,6842000000.0,4893000000.0,-0.0,-2542000000.0,-5065000000.0,-513000000.0,0.0,-0.0,4432000000.0,-310000000.0,5899000000.0,1949000000.0,0.0
6,AMZN,2013-12-31,3253000000.0,1134000000.0,5475000000.0,3444000000.0,-0.0,-2826000000.0,-4276000000.0,-1405000000.0,0.0,-0.0,-539000000.0,-86000000.0,574000000.0,2031000000.0,0.0
7,AMZN,2012-12-31,3680000000.0,833000000.0,4180000000.0,3785000000.0,-0.0,-4262000000.0,-3595000000.0,-3966000000.0,-960000000.0,-0.0,2259000000.0,-29000000.0,2815000000.0,395000000.0,0.0
8,AMZN,2011-12-31,2104000000.0,557000000.0,3903000000.0,1811000000.0,-0.0,-6534000000.0,-1930000000.0,-621000000.0,-277000000.0,-0.0,-482000000.0,1000000.0,1492000000.0,2092000000.0,0.0
9,AMZN,2010-12-31,1473000000.0,424000000.0,3495000000.0,979000000.0,-0.0,-6279000000.0,-3360000000.0,-364000000.0,-3777000000.0,-0.0,181000000.0,17000000.0,333000000.0,2516000000.0,0.0
10,AMZN,2009-12-31,378000000.0,236000000.0,3293000000.0,-373000000.0,-40000000.0,-1924000000.0,-2337000000.0,-385000000.0,0.0,0.0,-280000000.0,-1000000.0,675000000.0,2920000000.0,0.1093
0,GOOGL,2019-12-31,11781000000.0,10794000000.0,54520000000.0,23548000000.0,-2515000000.0,-22413000000.0,-29491000000.0,-585000000.0,-18396000000.0,-0.0,-23209000000.0,-23000000.0,1797000000.0,30972000000.0,0.0
1,GOOGL,2018-12-31,9035000000.0,9353000000.0,47971000000.0,25139000000.0,-1491000000.0,-11047000000.0,-28504000000.0,-6827000000.0,-9075000000.0,-0.0,-13179000000.0,-302000000.0,5986000000.0,22832000000.0,0.0
2,GOOGL,2017-12-31,6915000000.0,7700000000.0,37091000000.0,13184000000.0,-287000000.0,-24294000000.0,-31401000000.0,-4377000000.0,-4846000000.0,-0.0,-8298000000.0,405000000.0,-2203000000.0,23907000000.0,0.0
3,GOOGL,2016-12-31,6144000000.0,6703000000.0,36036000000.0,10212000000.0,-986000000.0,-21922000000.0,-31165000000.0,-10064000000.0,-3693000000.0,-0.0,-8332000000.0,-170000000.0,-3631000000.0,25824000000.0,0.0
4,GOOGL,2015-12-31,5063000000.0,5203000000.0,26024000000.0,9915000000.0,-236000000.0,-15415000000.0,-23711000000.0,-13728000000.0,-1780000000.0,-47000000.0,-3677000000.0,-434000000.0,-1798000000.0,16109000000.0,0.0
5,GOOGL,2014-12-31,4979000000.0,4279000000.0,23024000000.0,-10959000000.0,-4502000000.0,-5594000000.0,-21055000000.0,-18000000.0,-2069000000.0,0.0,-2087000000.0,-433000000.0,-551000000.0,12065000000.0,0.1643
6,GOOGL,2013-12-31,3939000000.0,2862000000.0,18659000000.0,-8806000000.0,2525000000.0,-7398000000.0,-13679000000.0,-557000000.0,-781000000.0,0.0,-857000000.0,-3000000.0,4120000000.0,9853000000.0,0.1427
7,GOOGL,2012-12-31,2962000000.0,2504000000.0,16619000000.0,-13841000000.0,0.0,785000000.0,-13056000000.0,1328000000.0,-287000000.0,0.0,1229000000.0,3000000.0,4795000000.0,2778000000.0,0.1829
8,GOOGL,2011-12-31,1851000000.0,1888000000.0,14565000000.0,-5338000000.0,0.0,-13703000000.0,-19041000000.0,726000000.0,-5000000.0,0.0,807000000.0,22000000.0,-3647000000.0,9227000000.0,0.1874
9,GOOGL,2010-12-31,1396000000.0,1282000000.0,11081000000.0,-5085000000.0,0.0,-5595000000.0,-10680000000.0,3463000000.0,-507000000.0,0.0,3050000000.0,-19000000.0,3432000000.0,5996000000.0,0.1657
10,GOOGL,2009-12-31,1524000000.0,1074000000.0,9316000000.0,-810000000.0,-108000000.0,-7101000000.0,-8019000000.0,0.0,143000000.0,0.0,233000000.0,11000000.0,1541000000.0,8506000000.0,0.1244
0,GOOG,2019-12-31,11781000000.0,10794000000.0,54520000000.0,23548000000.0,-2515000000.0,-22413000000.0,-29491000000.0,-585000000.0,-18396000000.0,-0.0,-23209000000.0,-23000000.0,1797000000.0,30972000000.0,0.0
1,GOOG,2018-12-31,9035000000.0,9353000000.0,47971000000.0,25139000000.0,-1491000000.0,-11047000000.0,-28504000000.0,-6827000000.0,-9075000000.0,-0.0,-13179000000.0,-302000000.0,5986000000.0,22832000000.0,0.0
2,GOOG,2018-12,9035000000.0,9353000000.0,47971000000.0,-26630000000.0,-1491000000.0,-1972000000,-28504000000.0,-6827000000.0,-9075000000.0,,-13179000000.0,-302000000.0,5986000000.0,21341000000.0,
3,GOOG,2017-12-31,6915000000.0,7700000000.0,37091000000.0,13184000000.0,-287000000.0,-24294000000.0,-31401000000.0,-4377000000.0,-4846000000.0,-0.0,-8298000000.0,405000000.0,-2203000000.0,23907000000.0,0.0
4,GOOG,2017-12,6915000000.0,7679000000.0,37091000000.0,-13471000000.0,-287000000.0,-19448000000,-31401000000.0,-4377000000.0,-4846000000.0,,-8298000000.0,405000000.0,-2203000000.0,23620000000.0,
5,GOOG,2016-12-31,6144000000.0,6703000000.0,36036000000.0,10212000000.0,-986000000.0,-21922000000.0,-31165000000.0,-10064000000.0,-3693000000.0,-0.0,-8332000000.0,-170000000.0,-3631000000.0,25824000000.0,0.0
6,GOOG,2016-12,6144000000.0,6703000000.0,36036000000.0,-11198000000.0,-986000000.0,-17779000000,-31165000000.0,-10064000000.0,-3693000000.0,,-8332000000.0,-170000000.0,-3631000000.0,24838000000.0,
7,GOOG,2015-12-31,5063000000.0,5203000000.0,26024000000.0,9915000000.0,-236000000.0,-15415000000.0,-23711000000.0,-13728000000.0,-1780000000.0,-47000000.0,-3677000000.0,-434000000.0,-1798000000.0,16109000000.0,0.0
8,GOOG,2015-12,5063000000.0,5203000000.0,26024000000.0,-10151000000.0,-236000000.0,-13210000000,-23711000000.0,-13728000000.0,-1780000000.0,,-3677000000.0,-434000000.0,-1798000000.0,15873000000.0,
9,GOOG,2014-12,4979000000.0,4279000000.0,22376000000.0,-15847000000.0,-4888000000.0,-6997000000,-21055000000.0,-11643000000.0,000000.0,,-1439000000.0,-433000000.0,-551000000.0,6529000000.0,
0,FB,2019-12-31,5741000000.0,4836000000.0,36314000000.0,15102000000.0,-0.0,-8395000000.0,-19864000000.0,-0.0,-4202000000.0,-0.0,-7299000000.0,4000000.0,19079000000.0,21212000000.0,0.0
1,FB,2018-12-31,4315000000.0,4152000000.0,29274000000.0,13915000000.0,-0.0,-10405000000.0,-11603000000.0,-0.0,-12879000000.0,-0.0,-15572000000.0,-179000000.0,10019000000.0,15359000000.0,0.0
2,FB,2017-12-31,3025000000.0,3723000000.0,24216000000.0,6733000000.0,-0.0,-24670000000.0,-20038000000.0,-0.0,-1976000000.0,-0.0,-5235000000.0,233000000.0,-824000000.0,17483000000.0,0.0
