,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,ticker
0,2010-05-10T00:00:00.000Z,253.99,254.65,248.53,250.25,35153800,31.4086717256,31.4902880228,30.7334823574,30.9461793745,246076846,0.0,1.0,AAPL
1,2010-05-11T00:00:00.000Z,256.52,259.89,250.5,251.84,30318100,31.7215341983,32.1382719586,30.9770946386,31.1428004542,212226912,0.0,1.0,AAPL
2,2010-05-12T00:00:00.000Z,262.09,263.13,258.7,259.245,23370700,32.4103262827,32.5389337814,31.9911153014,32.0585105772,163595063,0.0,1.0,AAPL
3,2010-05-13T00:00:00.000Z,258.36,265.0,256.4,263.22,21418300,31.9490705422,32.770179957,31.7066948716,32.5500632765,149928249,0.0,1.0,AAPL
4,2010-05-14T00:00:00.000Z,253.82,256.48,249.5,255.165,27120100,31.387649346,31.7165877561,30.8534335821,31.5539734669,189840889,0.0,1.0,AAPL
5,2010-05-17T00:00:00.000Z,254.22,256.18,247.71,254.7,27244100,31.4371137685,31.6794894392,30.6320802911,31.4964710756,190708890,0.0,1.0,AAPL
6,2010-05-18T00:00:00.000Z,252.36,258.55,250.26,256.98,27952800,31.2071042036,31.9725661429,30.947415985,31.7784182843,195669795,0.0,1.0,AAPL
7,2010-05-19T00:00:00.000Z,248.34,252.92,244.85,249.5,36633100,30.7099867567,31.2763543952,30.2784096697,30.8534335821,256431956,0.0,1.0,AAPL
8,2010-05-20T00:00:00.000Z,237.76,243.85,236.21,241.88,45818400,29.4016527795,30.1547486132,29.209978142,29.911136332,320729120,0.0,1.0,AAPL
9,2010-05-21T00:00:00.000Z,242.32,244.5,231.35,232.82,43710400,29.9655471969,30.2351282999,28.6089854077,28.7907671607,305973105,0.0,1.0,AAPL
10,2010-05-24T00:00:00.000Z,246.76,250.9,246.26,247.28,26937100,30.5146022875,31.0265590611,30.4527717593,30.5789060368,188559888,0.0,1.0,AAPL
11,2010-05-25T00:00:00.000Z,245.22,246.76,237.16,239.35,37428800,30.3241642606,30.5146022875,29.3274561456,29.5982738593,262001862,0.0,1.0,AAPL
12,2010-05-26T00:00:00.000Z,244.109,252.13,243.75,250.08,30380500,30.1867768269,31.1786621606,30.1423825076,30.9251569949,212663712,0.0,1.0,AAPL
13,2010-05-27T00:00:00.000Z,253.35,253.89,249.11,250.6,23795800,31.3295286494,31.3963056199,30.8052057701,30.9894607442,166570766,0.0,1.0,AAPL
14,2010-05-28T00:00:00.000Z,256.88,259.4,253.35,259.3881,29129100,31.7660521787,32.0776780409,31.3295286494,32.0762064743,203903903,0.0,1.0,AAPL
